FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree
6001405000,"Census Tract 4050, Alameda County, California","Census Tract 4050, Alameda County, California",6,1,405000,3356,2714,55,261,679,878,547,167,127
6001405100,"Census Tract 4051, Alameda County, California","Census Tract 4051, Alameda County, California",6,1,405100,3974,2880,71,74,501,985,650,459,140
6001405200,"Census Tract 4052, Alameda County, California","Census Tract 4052, Alameda County, California",6,1,405200,4647,3770,327,351,698,1360,751,180,103
6001405301,"Census Tract 4053.01, Alameda County, California","Census Tract 4053.01, Alameda County, California",6,1,405301,2588,2142,118,221,659,655,399,26,64
6001405302,"Census Tract 4053.02, Alameda County, California","Census Tract 4053.02, Alameda County, California",6,1,405302,2450,2209,498,256,800,399,186,24,46
6001405401,"Census Tract 4054.01, Alameda County, California","Census Tract 4054.01, Alameda County, California",6,1,405401,4104,2900,946,605,847,206,240,11,45
6001405402,"Census Tract 4054.02, Alameda County, California","Census Tract 4054.02, Alameda County, California",6,1,405402,2917,1976,680,466,548,190,77,0,15
6001405500,"Census Tract 4055, Alameda County, California","Census Tract 4055, Alameda County, California",6,1,405500,3570,2511,652,350,661,549,224,18,57
6001405600,"Census Tract 4056, Alameda County, California","Census Tract 4056, Alameda County, California",6,1,405600,3252,2397,566,318,578,527,272,66,70
6001405700,"Census Tract 4057, Alameda County, California","Census Tract 4057, Alameda County, California",6,1,405700,3040,2064,505,502,626,267,118,39,7
6001405800,"Census Tract 4058, Alameda County, California","Census Tract 4058, Alameda County, California",6,1,405800,4275,2643,800,695,619,433,96,0,0
6001405901,"Census Tract 4059.01, Alameda County, California","Census Tract 4059.01, Alameda County, California",6,1,405901,3438,1970,1011,296,502,120,23,0,18
6001405902,"Census Tract 4059.02, Alameda County, California","Census Tract 4059.02, Alameda County, California",6,1,405902,3430,2126,887,623,368,224,23,0,1
6001406000,"Census Tract 4060, Alameda County, California","Census Tract 4060, Alameda County, California",6,1,406000,3319,2296,903,367,449,369,187,15,6
6001406100,"Census Tract 4061, Alameda County, California","Census Tract 4061, Alameda County, California",6,1,406100,4508,2953,1165,408,634,408,288,21,29
6001406201,"Census Tract 4062.01, Alameda County, California","Census Tract 4062.01, Alameda County, California",6,1,406201,4027,2556,826,717,586,258,99,0,70
6001406202,"Census Tract 4062.02, Alameda County, California","Census Tract 4062.02, Alameda County, California",6,1,406202,4420,2773,1216,716,377,400,64,0,0
6001406300,"Census Tract 4063, Alameda County, California","Census Tract 4063, Alameda County, California",6,1,406300,4453,2999,1100,674,689,397,109,11,19
6001406400,"Census Tract 4064, Alameda County, California","Census Tract 4064, Alameda County, California",6,1,406400,2357,1647,324,296,627,204,158,15,23
6001406500,"Census Tract 4065, Alameda County, California","Census Tract 4065, Alameda County, California",6,1,406500,6053,3941,1256,1128,854,490,173,23,17
6001406601,"Census Tract 4066.01, Alameda County, California","Census Tract 4066.01, Alameda County, California",6,1,406601,4837,2985,671,924,796,362,223,9,0
6001406602,"Census Tract 4066.02, Alameda County, California","Census Tract 4066.02, Alameda County, California",6,1,406602,2146,1506,341,396,430,217,109,13,0
6001406700,"Census Tract 4067, Alameda County, California","Census Tract 4067, Alameda County, California",6,1,406700,4935,3575,484,496,695,954,695,175,76
6001406800,"Census Tract 4068, Alameda County, California","Census Tract 4068, Alameda County, California",6,1,406800,3642,2449,222,361,841,588,272,89,76
6001406900,"Census Tract 4069, Alameda County, California","Census Tract 4069, Alameda County, California",6,1,406900,3807,2577,404,355,536,666,432,120,64
6001407000,"Census Tract 4070, Alameda County, California","Census Tract 4070, Alameda County, California",6,1,407000,5428,3666,1129,987,1002,392,123,7,26
6001407101,"Census Tract 4071.01, Alameda County, California","Census Tract 4071.01, Alameda County, California",6,1,407101,3723,2176,985,631,366,164,22,8,0
6001407102,"Census Tract 4071.02, Alameda County, California","Census Tract 4071.02, Alameda County, California",6,1,407102,4268,2752,1007,614,681,347,54,9,40
6001407200,"Census Tract 4072, Alameda County, California","Census Tract 4072, Alameda County, California",6,1,407200,6067,3743,1585,932,909,278,33,6,0
6001407300,"Census Tract 4073, Alameda County, California","Census Tract 4073, Alameda County, California",6,1,407300,2797,1733,731,255,461,192,62,0,32
6001407400,"Census Tract 4074, Alameda County, California","Census Tract 4074, Alameda County, California",6,1,407400,4379,2548,1395,463,543,127,9,11,0
6001407500,"Census Tract 4075, Alameda County, California","Census Tract 4075, Alameda County, California",6,1,407500,3648,1969,752,438,627,94,44,5,9
6001407600,"Census Tract 4076, Alameda County, California","Census Tract 4076, Alameda County, California",6,1,407600,5369,3622,611,1223,1307,301,85,95,0
6001407700,"Census Tract 4077, Alameda County, California","Census Tract 4077, Alameda County, California",6,1,407700,4100,3072,183,571,1058,639,455,115,51
6001407800,"Census Tract 4078, Alameda County, California","Census Tract 4078, Alameda County, California",6,1,407800,2760,1465,188,225,502,351,85,39,75
6001407900,"Census Tract 4079, Alameda County, California","Census Tract 4079, Alameda County, California",6,1,407900,2501,1818,159,219,460,531,340,80,29
6001408000,"Census Tract 4080, Alameda County, California","Census Tract 4080, Alameda County, California",6,1,408000,2821,2077,118,191,300,677,486,168,137
6001408100,"Census Tract 4081, Alameda County, California","Census Tract 4081, Alameda County, California",6,1,408100,6466,5270,266,400,1386,1849,743,397,229
6001408200,"Census Tract 4082, Alameda County, California","Census Tract 4082, Alameda County, California",6,1,408200,3624,2737,388,377,997,556,258,101,60
6001408300,"Census Tract 4083, Alameda County, California","Census Tract 4083, Alameda County, California",6,1,408300,5016,3402,439,624,1249,487,349,165,89
6001408400,"Census Tract 4084, Alameda County, California","Census Tract 4084, Alameda County, California",6,1,408400,3696,2143,629,535,777,128,52,11,11
6001408500,"Census Tract 4085, Alameda County, California","Census Tract 4085, Alameda County, California",6,1,408500,5341,2799,841,854,854,189,48,9,4
6001408600,"Census Tract 4086, Alameda County, California","Census Tract 4086, Alameda County, California",6,1,408600,5922,3549,1254,1021,1025,185,48,16,0
6001408700,"Census Tract 4087, Alameda County, California","Census Tract 4087, Alameda County, California",6,1,408700,7285,4498,1441,1152,1256,456,126,0,67
6001408800,"Census Tract 4088, Alameda County, California","Census Tract 4088, Alameda County, California",6,1,408800,6248,3268,1501,964,670,91,32,10,0
6001408900,"Census Tract 4089, Alameda County, California","Census Tract 4089, Alameda County, California",6,1,408900,3137,1808,668,633,477,18,12,0,0
6001409000,"Census Tract 4090, Alameda County, California","Census Tract 4090, Alameda County, California",6,1,409000,4031,2163,652,704,691,91,25,0,0
6001409100,"Census Tract 4091, Alameda County, California","Census Tract 4091, Alameda County, California",6,1,409100,2233,1223,381,330,317,195,0,0,0
6001409200,"Census Tract 4092, Alameda County, California","Census Tract 4092, Alameda County, California",6,1,409200,3061,1690,512,520,510,116,15,0,17
6001409300,"Census Tract 4093, Alameda County, California","Census Tract 4093, Alameda County, California",6,1,409300,5356,3352,1276,975,890,171,0,38,2
6001409400,"Census Tract 4094, Alameda County, California","Census Tract 4094, Alameda County, California",6,1,409400,4524,2171,841,667,433,143,78,0,9
6001409500,"Census Tract 4095, Alameda County, California","Census Tract 4095, Alameda County, California",6,1,409500,4351,2314,1270,540,385,100,6,0,13
6001409600,"Census Tract 4096, Alameda County, California","Census Tract 4096, Alameda County, California",6,1,409600,5480,2676,1118,820,493,216,9,20,0
6001409700,"Census Tract 4097, Alameda County, California","Census Tract 4097, Alameda County, California",6,1,409700,5030,2904,1113,750,861,138,28,0,14
6001409800,"Census Tract 4098, Alameda County, California","Census Tract 4098, Alameda County, California",6,1,409800,2640,1781,303,307,677,317,128,33,16
6001409900,"Census Tract 4099, Alameda County, California","Census Tract 4099, Alameda County, California",6,1,409900,3267,2595,103,346,880,709,326,101,130
6001410000,"Census Tract 4100, Alameda County, California","Census Tract 4100, Alameda County, California",6,1,410000,3258,2357,328,153,673,697,276,150,80
6001410100,"Census Tract 4101, Alameda County, California","Census Tract 4101, Alameda County, California",6,1,410100,3110,1720,246,345,694,283,91,61,0
6001410200,"Census Tract 4102, Alameda County, California","Census Tract 4102, Alameda County, California",6,1,410200,3383,2210,632,673,602,224,68,10,1
6001410300,"Census Tract 4103, Alameda County, California","Census Tract 4103, Alameda County, California",6,1,410300,3646,2100,979,579,368,148,22,4,0
6001410400,"Census Tract 4104, Alameda County, California","Census Tract 4104, Alameda County, California",6,1,410400,4211,2657,923,600,654,360,108,12,0
6001410500,"Census Tract 4105, Alameda County, California","Census Tract 4105, Alameda County, California",6,1,410500,2415,1366,305,290,631,116,24,0,0
6001420100,"Census Tract 4201, Alameda County, California","Census Tract 4201, Alameda County, California",6,1,420100,2409,1595,28,131,189,647,327,128,145
6001420200,"Census Tract 4202, Alameda County, California","Census Tract 4202, Alameda County, California",6,1,420200,3015,1994,89,233,367,610,351,97,247
6001420300,"Census Tract 4203, Alameda County, California","Census Tract 4203, Alameda County, California",6,1,420300,4717,3313,98,351,662,1148,576,233,245
6001420400,"Census Tract 4204, Alameda County, California","Census Tract 4204, Alameda County, California",6,1,420400,3687,2403,89,14,275,544,818,63,600
6001420500,"Census Tract 4205, Alameda County, California","Census Tract 4205, Alameda County, California",6,1,420500,2110,1443,96,162,332,366,317,75,95
6001420600,"Census Tract 4206, Alameda County, California","Census Tract 4206, Alameda County, California",6,1,420600,2831,1972,75,104,327,628,483,172,183
6001421100,"Census Tract 4211, Alameda County, California","Census Tract 4211, Alameda County, California",6,1,421100,2045,1625,22,101,190,448,426,194,244
6001421200,"Census Tract 4212, Alameda County, California","Census Tract 4212, Alameda County, California",6,1,421200,3641,2768,25,61,293,722,852,397,418
6001421300,"Census Tract 4213, Alameda County, California","Census Tract 4213, Alameda County, California",6,1,421300,4188,3236,0,114,390,1048,1007,269,408
6001421400,"Census Tract 4214, Alameda County, California","Census Tract 4214, Alameda County, California",6,1,421400,1781,1348,7,60,94,414,413,163,197
6001421500,"Census Tract 4215, Alameda County, California","Census Tract 4215, Alameda County, California",6,1,421500,3716,2947,5,134,363,986,671,349,439
6001421600,"Census Tract 4216, Alameda County, California","Census Tract 4216, Alameda County, California",6,1,421600,3506,2851,43,71,233,1035,777,258,434
6001421700,"Census Tract 4217, Alameda County, California","Census Tract 4217, Alameda County, California",6,1,421700,3823,2792,67,114,363,841,895,210,302
6001421800,"Census Tract 4218, Alameda County, California","Census Tract 4218, Alameda County, California",6,1,421800,2217,1638,37,86,223,569,453,122,148
6001421900,"Census Tract 4219, Alameda County, California","Census Tract 4219, Alameda County, California",6,1,421900,3710,2767,40,79,479,1084,795,170,120
6001422000,"Census Tract 4220, Alameda County, California","Census Tract 4220, Alameda County, California",6,1,422000,1591,1270,157,75,426,346,208,17,41
6001422100,"Census Tract 4221, Alameda County, California","Census Tract 4221, Alameda County, California",6,1,422100,2280,1763,178,199,336,586,252,116,96
6001422200,"Census Tract 4222, Alameda County, California","Census Tract 4222, Alameda County, California",6,1,422200,3196,2438,182,273,329,882,492,115,165
6001422300,"Census Tract 4223, Alameda County, California","Census Tract 4223, Alameda County, California",6,1,422300,3853,2461,114,213,381,865,593,163,132
6001422400,"Census Tract 4224, Alameda County, California","Census Tract 4224, Alameda County, California",6,1,422400,4485,2676,26,16,351,1112,649,191,331
6001422500,"Census Tract 4225, Alameda County, California","Census Tract 4225, Alameda County, California",6,1,422500,4323,2129,95,114,338,699,561,137,185
6001422600,"Census Tract 4226, Alameda County, California","Census Tract 4226, Alameda County, California",6,1,422600,627,123,10,0,21,64,19,0,9
6001422700,"Census Tract 4227, Alameda County, California","Census Tract 4227, Alameda County, California",6,1,422700,4510,1182,38,135,316,354,205,76,58
6001422800,"Census Tract 4228, Alameda County, California","Census Tract 4228, Alameda County, California",6,1,422800,7900,1148,25,94,332,454,194,29,20
6001422900,"Census Tract 4229, Alameda County, California","Census Tract 4229, Alameda County, California",6,1,422900,4190,1696,51,141,354,731,365,17,37
6001423000,"Census Tract 4230, Alameda County, California","Census Tract 4230, Alameda County, California",6,1,423000,4828,3638,277,122,522,1258,1037,22,400
6001423100,"Census Tract 4231, Alameda County, California","Census Tract 4231, Alameda County, California",6,1,423100,3869,2912,224,267,618,1038,552,109,104
6001423200,"Census Tract 4232, Alameda County, California","Census Tract 4232, Alameda County, California",6,1,423200,2953,2113,374,324,391,533,200,139,152
6001423300,"Census Tract 4233, Alameda County, California","Census Tract 4233, Alameda County, California",6,1,423300,3830,2891,285,515,769,671,475,40,136
6001423400,"Census Tract 4234, Alameda County, California","Census Tract 4234, Alameda County, California",6,1,423400,5168,3320,255,600,805,996,424,62,178
6001423500,"Census Tract 4235, Alameda County, California","Census Tract 4235, Alameda County, California",6,1,423500,3149,2315,112,235,433,779,494,73,189
6001423601,"Census Tract 4236.01, Alameda County, California","Census Tract 4236.01, Alameda County, California",6,1,423601,2650,1887,36,137,291,725,372,130,196
6001423602,"Census Tract 4236.02, Alameda County, California","Census Tract 4236.02, Alameda County, California",6,1,423602,5559,1770,41,21,316,640,456,74,222
6001423700,"Census Tract 4237, Alameda County, California","Census Tract 4237, Alameda County, California",6,1,423700,3873,1923,104,104,187,546,501,259,222
6001423800,"Census Tract 4238, Alameda County, California","Census Tract 4238, Alameda County, California",6,1,423800,3197,2555,83,194,212,709,607,443,307
6001423901,"Census Tract 4239.01, Alameda County, California","Census Tract 4239.01, Alameda County, California",6,1,423901,1945,1551,10,204,568,408,192,45,124
6001423902,"Census Tract 4239.02, Alameda County, California","Census Tract 4239.02, Alameda County, California",6,1,423902,1381,1213,18,45,184,421,325,82,138
6001424001,"Census Tract 4240.01, Alameda County, California","Census Tract 4240.01, Alameda County, California",6,1,424001,3813,2671,443,392,836,605,248,33,114
6001424002,"Census Tract 4240.02, Alameda County, California","Census Tract 4240.02, Alameda County, California",6,1,424002,2240,1652,237,268,515,422,140,7,63
6001425101,"Census Tract 4251.01, Alameda County, California","Census Tract 4251.01, Alameda County, California",6,1,425101,1558,1423,0,39,251,432,381,69,251
6001425102,"Census Tract 4251.02, Alameda County, California","Census Tract 4251.02, Alameda County, California",6,1,425102,2730,2121,17,33,341,983,517,195,35
6001425103,"Census Tract 4251.03, Alameda County, California","Census Tract 4251.03, Alameda County, California",6,1,425103,2706,2166,119,114,439,762,409,173,150
6001425104,"Census Tract 4251.04, Alameda County, California","Census Tract 4251.04, Alameda County, California",6,1,425104,3212,2571,175,297,537,778,447,170,167
6001426100,"Census Tract 4261, Alameda County, California","Census Tract 4261, Alameda County, California",6,1,426100,6142,4055,80,121,471,1498,846,836,203
6001426200,"Census Tract 4262, Alameda County, California","Census Tract 4262, Alameda County, California",6,1,426200,4710,3048,71,63,425,1173,599,487,230
6001427100,"Census Tract 4271, Alameda County, California","Census Tract 4271, Alameda County, California",6,1,427100,3574,2646,129,355,785,800,404,128,45
6001427200,"Census Tract 4272, Alameda County, California","Census Tract 4272, Alameda County, California",6,1,427200,4614,3343,470,537,1100,721,370,81,64
6001427300,"Census Tract 4273, Alameda County, California","Census Tract 4273, Alameda County, California",6,1,427300,4448,3249,396,559,1023,760,290,137,84
6001427600,"Census Tract 4276, Alameda County, California","Census Tract 4276, Alameda County, California",6,1,427600,5323,3204,585,656,1000,774,178,5,6
6001427700,"Census Tract 4277, Alameda County, California","Census Tract 4277, Alameda County, California",6,1,427700,4760,3726,303,683,1172,1058,372,97,41
6001427800,"Census Tract 4278, Alameda County, California","Census Tract 4278, Alameda County, California",6,1,427800,5100,3736,186,669,882,1122,586,130,161
6001427900,"Census Tract 4279, Alameda County, California","Census Tract 4279, Alameda County, California",6,1,427900,4581,3644,401,261,1162,1141,406,261,12
6001428000,"Census Tract 4280, Alameda County, California","Census Tract 4280, Alameda County, California",6,1,428000,3534,2419,288,366,487,973,235,48,22
6001428100,"Census Tract 4281, Alameda County, California","Census Tract 4281, Alameda County, California",6,1,428100,4704,3386,209,461,1160,938,352,153,113
6001428200,"Census Tract 4282, Alameda County, California","Census Tract 4282, Alameda County, California",6,1,428200,6424,4736,537,579,1285,1501,553,165,116
6001428301,"Census Tract 4283.01, Alameda County, California","Census Tract 4283.01, Alameda County, California",6,1,428301,6182,4358,390,702,1008,1324,655,125,154
6001428302,"Census Tract 4283.02, Alameda County, California","Census Tract 4283.02, Alameda County, California",6,1,428302,6997,5159,113,451,764,2052,927,548,304
6001428400,"Census Tract 4284, Alameda County, California","Census Tract 4284, Alameda County, California",6,1,428400,4506,3431,384,524,1108,891,321,111,92
6001428500,"Census Tract 4285, Alameda County, California","Census Tract 4285, Alameda County, California",6,1,428500,3491,2608,198,439,902,696,196,78,99
6001428600,"Census Tract 4286, Alameda County, California","Census Tract 4286, Alameda County, California",6,1,428600,2918,2327,200,329,706,704,243,54,91
6001428700,"Census Tract 4287, Alameda County, California","Census Tract 4287, Alameda County, California",6,1,428700,3662,2167,278,369,527,624,220,121,28
6001430101,"Census Tract 4301.01, Alameda County, California","Census Tract 4301.01, Alameda County, California",6,1,430101,6797,4498,244,602,1074,1507,693,201,177
6001430102,"Census Tract 4301.02, Alameda County, California","Census Tract 4301.02, Alameda County, California",6,1,430102,2058,1637,46,211,400,590,290,45,55
6001430200,"Census Tract 4302, Alameda County, California","Census Tract 4302, Alameda County, California",6,1,430200,6905,4946,133,1206,1664,1306,429,130,78
6001430300,"Census Tract 4303, Alameda County, California","Census Tract 4303, Alameda County, California",6,1,430300,3621,2415,175,594,776,564,189,70,47
6001430400,"Census Tract 4304, Alameda County, California","Census Tract 4304, Alameda County, California",6,1,430400,2030,1603,62,260,496,460,236,57,32
6001430500,"Census Tract 4305, Alameda County, California","Census Tract 4305, Alameda County, California",6,1,430500,6015,4020,465,1095,1283,860,282,35,0
6001430600,"Census Tract 4306, Alameda County, California","Census Tract 4306, Alameda County, California",6,1,430600,5336,4010,423,695,1389,808,492,145,58
6001430700,"Census Tract 4307, Alameda County, California","Census Tract 4307, Alameda County, California",6,1,430700,3693,2521,204,621,780,633,178,49,56
6001430800,"Census Tract 4308, Alameda County, California","Census Tract 4308, Alameda County, California",6,1,430800,5762,4064,192,1053,1651,862,183,115,8
6001430900,"Census Tract 4309, Alameda County, California","Census Tract 4309, Alameda County, California",6,1,430900,4524,2929,177,801,1091,574,251,8,27
6001431000,"Census Tract 4310, Alameda County, California","Census Tract 4310, Alameda County, California",6,1,431000,2787,1921,430,527,647,267,50,0,0
6001431100,"Census Tract 4311, Alameda County, California","Census Tract 4311, Alameda County, California",6,1,431100,3358,2265,229,778,872,290,70,13,13
6001431200,"Census Tract 4312, Alameda County, California","Census Tract 4312, Alameda County, California",6,1,431200,5321,3831,295,946,1196,998,334,22,40
6001432100,"Census Tract 4321, Alameda County, California","Census Tract 4321, Alameda County, California",6,1,432100,3765,2615,161,495,557,809,351,124,118
6001432200,"Census Tract 4322, Alameda County, California","Census Tract 4322, Alameda County, California",6,1,432200,3748,2780,371,788,895,447,214,38,27
6001432300,"Census Tract 4323, Alameda County, California","Census Tract 4323, Alameda County, California",6,1,432300,4346,3064,431,694,894,721,213,55,56
6001432400,"Census Tract 4324, Alameda County, California","Census Tract 4324, Alameda County, California",6,1,432400,5644,3721,809,1163,1032,611,62,21,23
6001432501,"Census Tract 4325.01, Alameda County, California","Census Tract 4325.01, Alameda County, California",6,1,432501,4786,3260,1035,1029,723,339,100,11,23
6001432502,"Census Tract 4325.02, Alameda County, California","Census Tract 4325.02, Alameda County, California",6,1,432502,4400,3045,649,789,870,645,77,9,6
6001432600,"Census Tract 4326, Alameda County, California","Census Tract 4326, Alameda County, California",6,1,432600,6955,4968,615,1096,1884,995,235,84,59
6001432700,"Census Tract 4327, Alameda County, California","Census Tract 4327, Alameda County, California",6,1,432700,2386,1811,318,314,394,466,276,22,21
6001432800,"Census Tract 4328, Alameda County, California","Census Tract 4328, Alameda County, California",6,1,432800,3134,2397,236,628,673,496,215,116,33
6001433000,"Census Tract 4330, Alameda County, California","Census Tract 4330, Alameda County, California",6,1,433000,3626,2635,493,730,753,455,123,38,43
6001433102,"Census Tract 4331.02, Alameda County, California","Census Tract 4331.02, Alameda County, California",6,1,433102,4186,2912,789,527,835,582,160,9,10
6001433103,"Census Tract 4331.03, Alameda County, California","Census Tract 4331.03, Alameda County, California",6,1,433103,4367,2678,817,659,714,376,96,16,0
6001433104,"Census Tract 4331.04, Alameda County, California","Census Tract 4331.04, Alameda County, California",6,1,433104,4026,3027,379,602,733,961,277,44,31
6001433200,"Census Tract 4332, Alameda County, California","Census Tract 4332, Alameda County, California",6,1,433200,7179,4786,781,1268,1417,1094,186,38,2
6001433300,"Census Tract 4333, Alameda County, California","Census Tract 4333, Alameda County, California",6,1,433300,6743,4612,820,1508,1280,714,236,38,16
